                 Estimate   Std. Error
Length2_hat  1.193309e+02 1.626459e+00
Length2_hat  1.198193e+02 1.683841e+00
Length2_hat  1.198782e+02 1.712814e+00
Length2_hat  1.192447e+02 1.597547e+00
Length2_hat  1.126553e+02 1.614106e+00
Length2_hat  9.555668e+01 1.654881e+00
Length2_hat  1.290496e+02 1.707285e+00
Length2_hat  1.013091e+02 1.650728e+00
Length2_hat  9.903203e+01 1.745613e+00
Length2_hat  1.289092e+02 1.844765e+00
Length2_hat  1.198916e+02 1.713062e+00
Length2_hat  1.015990e+02 1.669880e+00
Length2_hat  1.193677e+02 1.654566e+00
Length2_hat  1.072982e+02 1.695759e+00
Length2_hat  1.388267e+02 1.978081e+00
Length2_hat  1.290139e+02 1.753151e+00
Length2_hat  1.015020e+02 1.667720e+00
Length2_hat  9.196412e+01 2.243732e+00
Length2_hat  1.131469e+02 1.738109e+00
Length2_hat  9.486689e+01 1.847422e+00
Length2_hat  1.162655e+02 1.575546e+00
Length2_hat  1.289185e+02 1.796399e+00
Length2_hat  1.015343e+02 1.646311e+00
Length2_hat  1.016136e+02 1.695812e+00
Length2_hat  9.492237e+01 1.931220e+00
Length2_hat  1.165193e+02 1.610800e+00
Length2_hat  1.072502e+02 1.791586e+00
Length2_hat  1.161438e+02 1.528443e+00
Length2_hat  1.231886e+02 1.754993e+00
Length2_hat  1.288856e+02 1.844601e+00
Length2_hat  1.183055e+02 1.845028e+00
Length2_hat  1.204508e+02 1.639458e+00
Length2_hat  1.123866e+02 1.667140e+00
Length2_hat  1.248112e+02 1.896146e+00
Length2_hat  1.063328e+02 1.767798e+00
Length2_hat  1.177324e+02 1.766592e+00
Length2_hat  1.175640e+02 1.758540e+00
Length2_hat  1.282510e+02 1.914127e+00
Length2_hat  1.065418e+02 1.769848e+00
Length2_hat  1.061422e+02 1.765096e+00
Length2_hat  1.393984e+02 2.243863e+00
Length2_hat  1.340992e+02 1.899514e+00
Length2_hat  1.123972e+02 1.762308e+00
Length2_hat  1.123220e+02 1.676220e+00
Length2_hat  1.004558e+02 1.778969e+00
Length2_hat  1.214807e+02 1.719824e+00
Length2_hat  9.997437e+01 1.932383e+00
Length2_hat  1.393988e+02 2.244073e+00
Length2_hat  1.342398e+02 1.887483e+00
